first_name,last_name,email,phone,title,industry,company_size,account_id,last_activity,deal_name,amount,close_date,stage,owner
David,Burton,not-an-email,,Translator,LLC,500+,019829a1-3dd2-4d4a-b25b-9170b790aba2,2025-03-30,Syndicate Sticky Infrastructures Deal 0,23513.03,2025-04-21,,kathryn74@example.net
Michelle,Holden,emilyhorn@example.org,123-abc,Materials engineer,and Sons,1-10,d07f8448-8cb1-49e2-a86d-ad6ff93e58f0,2025-02-26,Monetize Sticky E-Markets Deal 1,,2025-05-09,Prospecting,singhaudrey@example.com
Robert,Howard,not-an-email,123-abc,Higher education lecturer,PLC,1-10,cb076458-1936-49c5-ba70-ad558488c5bd,2025-03-13,Revolutionize World-Class Info-Mediaries Deal 2,-1000.0,2025-04-30,Proposal,patelann@example.org
Carlos,Cuevas,dennismegan@example.net,708.849.7738x61885,Sport and exercise psychologist,Inc,201-500,f3278488-6c8e-49f9-879a-87528f1ae1b7,2025-03-31,Generate Rich Methodologies Deal 3,8445.82,2025-04-12,Closed Won,ilopez@example.org
Rachel,Sawyer,sheryllambert@example.org,+1-940-608-6935x910,Sports therapist,Inc,201-500,d03581d7-fb62-416b-8fd9-a57738ad6470,2025-04-13,Integrate Holistic Convergence Deal 4,2851.57,2025-05-15,Proposal,derrick06@example.net
Jonathon,Carlson,youngscott@example.com,798-215-0119x9696,"Secretary, company",and Sons,51-200,5a30c145-7f83-4e0e-a98b-b70468ade7e7,2025-03-08,Brand Holistic Web Services Deal 5,1301.87,,Closed Lost,aholmes@example.com
April,Stafford,lisalee@example.com,001-867-904-0916,Waste management officer,and Sons,11-50,2fb38fd8-92a4-48c1-9681-643d2153611c,2025-03-29,Scale Strategic Action-Items Deal 6,14700.63,2025-05-12,Closed Won,jacksonlisa@example.net
Kevin,Gilbert,gjackson@example.com,(589)525-9113,Recycling officer,Ltd,11-50,8ff1f661-a393-4f09-bb8b-e16fc1954e8a,2025-03-31,Generate Holistic Roi Deal 7,,2025-05-15,Proposal,robert83@example.org
Robin,Ferguson,veronicaharris@example.org,123-abc,Environmental consultant,Group,201-500,,2025-03-09,Enable Seamless Solutions Deal 8,12945.55,2025-04-30,Prospecting,jessicarojas@example.net
Albert,Charles,camposjulie@example.org,7053674732,Geographical information systems officer,Group,500+,77e24abd-282c-471f-b805-337be716c591,2025-04-16,Re-Intermediate Scalable Users Deal 9,7754.34,2025-05-08,Closed Won,ferrellmichelle@example.org
Daniel,Smith,ortegaryan@example.net,(912)332-1068x18576,Agricultural consultant,LLC,500+,4a21f516-80a5-48af-8b0f-bc5baf280818,2025-03-21,Engineer Global Action-Items Deal 10,24124.75,2025-05-08,Proposal,karenhopkins@example.org
Cindy,Robinson,kballard@example.net,821-813-2862,Forensic scientist,Group,11-50,aeb6140f-f3a8-4b50-94ea-43f763b29d42,2025-04-19,Integrate Collaborative Methodologies Deal 11,45148.44,2025-04-20,Closed Won,huntdebra@example.com
Roberta,Norris,caitlin99@example.net,001-786-464-0769,"Teacher, English as a foreign language",Inc,1-10,,2025-02-26,Drive Seamless Eyeballs Deal 12,36474.8,2025-05-04,Negotiation,
Zachary,Harris,jameshansen@example.org,575-898-1398x11448,Sport and exercise psychologist,LLC,500+,6dca72e7-d2a2-46a3-a87a-40775a2b3164,2025-03-20,Innovate Out-Of-The-Box Interfaces Deal 13,-1000.0,2025-05-21,Proposal,fsmith@example.com
Shelby,Miller,collinsjim@example.org,123-abc,"Psychotherapist, dance movement",Ltd,51-200,,2025-03-10,Envisioneer Ubiquitous Relationships Deal 14,-1000.0,,Prospecting,arojas@example.net
Nathan,Mata,not-an-email,677.347.0702,"Designer, multimedia",LLC,500+,db2954ec-7cad-4ec9-9eb0-7f3f367d1c0c,2025-03-19,Aggregate Holistic Solutions Deal 15,-1000.0,2025-04-26,Closed Won,patrick07@example.org
Cynthia,Castro,ohoffman@example.com,892.395.8372,"Pharmacist, community",and Sons,,,2025-03-31,Matrix Ubiquitous Deliverables Deal 16,45879.47,,Proposal,jacksonmichael@example.org
Gary,Thomas,craigwashington@example.com,123-abc,Field trials officer,and Sons,1-10,0b50a2d4-76ec-4381-b8cc-1d243e368b97,2025-03-31,Deploy Magnetic Convergence Deal 17,11720.49,2025-05-21,Prospecting,melissajohnson@example.net
Jessica,Jackson,pearsonjames@example.net,338.565.5610x975,Insurance account manager,and Sons,500+,46e558dc-a5ec-49b0-b617-499a16144541,2025-02-23,Transition End-To-End Roi Deal 18,11108.67,2025-05-19,Negotiation,cunninghamamy@example.com
Scott,Mcclure,brodriguez@example.org,+1-920-229-2370,Contractor,and Sons,51-200,0f229951-c200-4e1f-9d1f-b84092c9b08a,2025-03-13,Deploy Enterprise Vortals Deal 19,,2025-04-12,Prospecting,tammyhinton@example.net
Cassie,Palmer,not-an-email,123-abc,Social worker,and Sons,11-50,b46dd12d-8aa9-4073-8222-ec841a832ff1,2025-04-02,Orchestrate Revolutionary Markets Deal 20,1805.11,2025-05-06,Closed Lost,shanebrown@example.net
Robert,Santiago,josephhawkins@example.com,+1-582-834-2896x650,"Engineer, civil (contracting)",Group,11-50,2a73e272-ddc3-44a3-9804-b61483cd3500,2025-04-02,E-Enable Interactive Portals Deal 21,34796.53,2025-04-25,Closed Lost,agates@example.com
Caleb,Fisher,,+1-789-826-5850,Event organiser,Inc,11-50,914804b6-e2ff-4b2a-917d-a99b86974dd5,2025-04-07,Re-Intermediate Out-Of-The-Box Portals Deal 22,16440.46,2025-05-04,,brittany82@example.org
Shane,Hernandez,,843.615.2655x272,Television/film/video producer,Inc,11-50,8a46e1e7-a3d9-4f32-8e82-e50789c2f323,,Strategize Plug-And-Play Markets Deal 23,21342.84,,Closed Lost,cchambers@example.com
Gary,Khan,frychristy@example.com,+1-453-269-8385x36385,Government social research officer,,201-500,1a742628-e885-4e68-b015-bfdef30e7d43,2025-04-04,Engineer Plug-And-Play Schemas Deal 24,,2025-04-26,Prospecting,zbaker@example.org
Mary,Miller,shawnrice@example.org,582-872-5869x5861,Careers information officer,Group,11-50,9aa638af-672a-4fb5-92f7-9aec175e077a,2025-03-13,Expedite Value-Added Web-Readiness Deal 25,39358.37,2025-04-16,Closed Lost,washingtonsean@example.org
Steve,Gomez,austin51@example.org,280.944.9650x25866,"Geologist, engineering",Ltd,1-10,,2025-04-09,Empower Killer Deliverables Deal 26,23553.75,2025-04-19,Proposal,moralestrevor@example.net
Matthew,Gill,wbrown@example.com,+1-430-293-7945x976,Theatre director,Ltd,,0a1fb87f-40f8-4f7f-a34c-b754d7e0f1d3,2025-02-24,Cultivate Mission-Critical Users Deal 27,49793.76,2025-05-17,Closed Lost,aflynn@example.org
Susan,Snyder,,7332322015,Museum/gallery exhibitions officer,PLC,500+,d2b909c2-9ec4-49b2-bdc0-cc351b2063ab,2025-04-20,Enhance Virtual Applications Deal 28,48709.7,2025-04-17,Proposal,jwalker@example.com
Chelsea,Martinez,robert54@example.net,(242)661-5231x3545,Financial adviser,,500+,55916d79-682b-4826-9178-3b0361a888b2,,Whiteboard Enterprise Vortals Deal 29,,2025-05-04,Proposal,marysmith@example.net
Ryan,Perez,kwells@example.org,633.505.2568x083,"Scientist, research (maths)",PLC,11-50,,2025-03-27,Empower Best-Of-Breed Schemas Deal 30,,,Closed Lost,
Lori,Bowman,fosterbriana@example.org,884-590-1344,Environmental health practitioner,Ltd,11-50,5c428f15-e12e-4a6e-9f8e-7676dda535f7,2025-04-11,Orchestrate Integrated Applications Deal 31,,2025-05-13,Negotiation,chrisbarry@example.net
Robert,Brandt,david39@example.org,(797)777-6053,Agricultural engineer,Group,500+,c7369331-9291-42ab-bfa9-1ab469238e6f,2025-04-02,Enable Proactive Platforms Deal 32,25192.65,2025-05-19,Proposal,imcdonald@example.org
Elizabeth,Brown,brettduncan@example.com,+1-773-722-0155x200,Product designer,Ltd,1-10,85a3fa73-660e-4d76-851d-4326359bacbc,2025-03-11,Benchmark Real-Time Architectures Deal 33,32891.87,2025-04-23,Closed Won,rileykevin@example.org
Samantha,Harrison,susan13@example.net,+1-997-341-9588x6723,Media planner,LLC,11-50,e9d3e231-808a-4788-ad86-ab44f4edbf20,2025-03-15,Orchestrate Web-Enabled Solutions Deal 34,29349.79,,Proposal,
Shelly,Hill,monica36@example.org,123-abc,Heritage manager,LLC,51-200,c2dda4e0-d0b5-458f-9044-6b35d9549424,2025-03-15,Incentivize Value-Added Platforms Deal 35,11396.12,2025-05-11,Closed Lost,wolfejonathan@example.net
Kenneth,Schultz,gomezdennis@example.com,749-275-7827,Merchant navy officer,Ltd,11-50,f94454fb-aba9-4c2e-8483-59d1eedc31b1,2025-02-26,Engineer Visionary E-Commerce Deal 36,10528.2,2025-04-17,Closed Won,michaeljohnston@example.com
Nancy,Hernandez,perezjared@example.org,123-abc,Software engineer,LLC,11-50,c4896764-e6d5-4cff-be13-33b995585851,2025-04-08,Synergize Turn-Key Networks Deal 37,48475.76,2025-04-18,Negotiation,christopher05@example.org
Denise,Arnold,eric73@example.net,001-345-252-6507,Hydrogeologist,Group,201-500,,2025-03-31,Integrate Dynamic E-Business Deal 38,11841.17,2025-05-15,Closed Lost,castanedasarah@example.org
James,Peterson,,+1-755-765-2593x992,"Designer, ceramics/pottery",and Sons,201-500,92752a91-4bbc-46ea-a5aa-6c0108190070,2025-03-21,Productize Innovative Supply-Chains Deal 39,46827.38,2025-05-17,Negotiation,brookskimberly@example.net
Vincent,Smith,richard84@example.org,(903)660-4105x0078,Horticultural consultant,LLC,201-500,1a18cc4e-e27b-41ca-ad1d-04ccc3581eb4,2025-02-23,Target Virtual Communities Deal 40,49633.64,2025-05-11,Closed Won,tuckerkathryn@example.org
Karina,Owens,agonzalez@example.org,,Hydrogeologist,LLC,,5668d851-c5b3-441f-88bb-9d765cc69c29,2025-04-19,Orchestrate Integrated Initiatives Deal 41,23213.25,2025-04-27,Negotiation,robertsmith@example.com
Morgan,Miller,not-an-email,,Clothing/textile technologist,PLC,11-50,,2025-04-12,Scale Dynamic Models Deal 42,,2025-04-11,Prospecting,grantkaren@example.net
Abigail,Jarvis,michaelchurch@example.com,642-681-7359,"Engineer, maintenance",PLC,201-500,19249a6a-6c48-49bf-bf3d-9a4efeed4c88,2025-03-01,Iterate Best-Of-Breed Platforms Deal 43,,2025-05-18,Closed Lost,zacharyjackson@example.net
Wanda,Fisher,melvinperez@example.org,(596)425-7781x647,Legal secretary,Ltd,51-200,,2025-03-13,Drive Leading-Edge E-Tailers Deal 44,39593.88,,Closed Won,james56@example.org
