first_name,last_name,email,phone,title,industry,company_size,account_id,last_activity,deal_name,amount,close_date,stage,owner
Alexandra,Randolph,julia00@example.net,7307764944,Sales executive,LLC,1-10,fb947f90-7981-4b87-aa70-bc4cc6659cdc,2025-03-24,Exploit Cross-Media Supply-Chains Deal 248,37787.28,2025-04-17,Closed Lost,gwendolyn26@example.org
Craig,Smith,juansimpson@example.org,699-262-9636,"Engineer, maintenance",and Sons,51-200,d79c28a0-32bf-493d-8e30-1807c039bde3,2025-04-04,Benchmark Mission-Critical Synergies Deal 82,8976.89,2025-05-06,Prospecting,hnguyen@example.net
Mary,Hanson,aliciahodges@example.org,(703)454-2341,"Therapist, nutritional",Group,1-10,21ce0050-8069-4822-b056-6f2b9959eb6d,2025-04-02,Visualize Bleeding-Edge Architectures Deal 166,29102.8,2025-05-04,Prospecting,brownrobert@example.net
Scott,Griffin,xparker@example.com,(863)879-1437,Water quality scientist,and Sons,1-10,b9fdc338-1ef0-44bc-b129-62b8f5c4e7f1,2025-04-24,Scale Clicks-And-Mortar Metrics Deal 22,31659.07,2025-04-18,Proposal,barbara28@example.org
Andrew,Melton,josephbarnes@example.org,650-449-6166x94522,"Engineer, electrical",Ltd,11-50,8f73f0ff-991f-486b-a4f8-761568297683,2025-04-25,E-Enable Distributed Interfaces Deal 256,44600.53,2025-04-24,Prospecting,uirwin@example.org
Stephanie,Russo,sean02@example.com,001-231-431-8770,Radiation protection practitioner,PLC,500+,40111e9a-a9e5-4e86-9694-7ac8971c99d1,2025-04-04,Aggregate Web-Enabled Metrics Deal 80,39642.48,2025-05-23,Closed Lost,kathrynriley@example.com
Crystal,Stephens,jessica92@example.net,(646)655-3423x17725,Consulting civil engineer,Ltd,51-200,bdeeb06c-dbb2-4f5c-a77b-042529c52ffb,2025-04-18,Incubate B2B Paradigms Deal 8,47414.03,2025-05-22,Prospecting,colleen64@example.org
Ashley,Greer,hansenlisa@example.org,682.641.1140x130,"Accountant, chartered",LLC,201-500,751940d5-5afb-4631-9704-861aeab61d8c,2025-03-15,Maximize Leading-Edge Functionalities Deal 482,49228.44,2025-05-10,Negotiation,troymurphy@example.com
Gabrielle,Fields,not-an-email,+1-639-210-3546x7392,Office manager,,500+,195d5472-531c-4a80-afeb-78d04cf43ecd,2025-03-19,Implement Killer Relationships Deal 373,37863.34,2025-04-27,Closed Lost,howellsteven@example.org
Rachel,Bell,craignicolas@example.com,919.720.5570,Logistics and distribution manager,LLC,500+,d046ea89-80ce-46f0-a2ec-7df971c18d59,2025-04-27,Enable Strategic Markets Deal 117,2869.28,2025-05-26,Prospecting,michealmckenzie@example.net
Michael,Evans,livingstonshawn@example.org,580.654.3653,Broadcast engineer,Ltd,500+,91b1d71d-529f-4dcc-9f68-1c235167d17f,2025-04-27,Enhance Back-End Mindshare Deal 266,23947.97,2025-04-18,Negotiation,dean12@example.net
Penny,Waller,allenpatrick@example.org,298-341-5319x21918,Illustrator,PLC,201-500,e0611090-7056-46a3-9073-5d7de553cfd3,2025-04-05,Unleash Value-Added Partnerships Deal 230,7955.85,2025-05-02,Closed Lost,vknapp@example.org
Michelle,Bush,jamesgibson@example.org,+1-719-312-3690x655,Television/film/video producer,Group,500+,398ffb6c-fc67-4577-99ba-623fb9d57e08,2025-03-05,Synergize Seamless Interfaces Deal 262,44585.11,2025-05-27,Prospecting,zstanton@example.net
Alexandra,Thomas,veronicafuentes@example.org,733.334.1195x92144,Theatre stage manager,PLC,201-500,cb479f9a-bf34-48b4-b070-7cd0b350d23d,2025-02-28,Cultivate B2B Action-Items Deal 46,26538.53,2025-05-22,Proposal,williamsmichelle@example.org
Heidi,Smith,alicia14@example.org,3156568437,"Accountant, chartered certified",Group,500+,9b287b53-3b3c-4ecb-bd87-44ab23abb1bb,2025-02-28,Envisioneer Cutting-Edge Methodologies Deal 211,10147.65,2025-04-23,Proposal,mcmillancatherine@example.org
Louis,Newton,yglass@example.org,668.955.2129x669,"Administrator, arts",LLC,51-200,7c9b98f1-bcef-4945-ad0b-e1d1ba0174a2,2025-03-11,Strategize Enterprise E-Tailers Deal 81,9678.29,2025-05-15,Prospecting,christopher93@example.net
Chad,Walker,williamsmichael@example.net,+1-838-722-9379x81453,Estate manager/land agent,,1-10,,2025-04-22,Seize Back-End Convergence Deal 489,12905.29,2025-05-08,Proposal,torresjose@example.org
